15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
10751	f˸انتخابات§n-10347	f˸تعریف	f˸"جریانی سازمان یافته که در آن مردم برای انتخاب یک یا چند نفر رای می دهند تا در مجلس یا جایی دیگر نماینده ی آنها باشند یا مسئولیت یا مقامی را عهده دار شوند"	
10755	f˸انتخابات§n-13876	f˸تعریف	f˸"عملی که طی آن از میان گروهی از افراد یک یا چند نفر به عنوان مسئول کاری انتخاب می شوند"	
10821	f˸انتصاب§n-10069	f˸مرتبط با	f˸نفر§n-13075	
10900	f˸انتقال§n-13613	f˸تعریف	f˸"منتقل شدن بیماری از یک نفر به دیگران بر اثر مجاورت, تماس یا مانند آنها"	
11137	f˸انداختن§v-7770	f˸مثال	f˸"استاد شش نفر را انداخت."	
11276	f˸اندیشمند§n-13332	f˸ISA	f˸نفر§n-13075	
11375	f˸انسان#n1	f˸عضو هم‌نشیم	f˸نفر§n-13075	
11384	f˸انسان§n-13370	f˸ISA	f˸نفر§n-13075	
11388	f˸انسان§n-14708	f˸ISA	f˸نفر§n-13075	
11508	f˸انفرادی#a1	f˸عضو هم‌نشیم	f˸تک نفره§a-321	
11508	f˸انفرادی#a1	f˸عضو هم‌نشیم	f˸تک نفره§a-321	
11509	f˸انفرادی#r1	f˸عضو هم‌نشیم	f˸یکایک§r-15355	
11510	f˸انفرادی#r1	f˸متضاد	f˸گروهی#r1	[σ = 0.01000]
11525	f˸انفکاک§n-10076	f˸تعریف	f˸"وجود فاصله ی زیاد بین دو نفر، چه به صورت فیزیکی و چه به صورت غیر فیزیکی و احساسی"	
11827	f˸اهل§n-13330	f˸ISA	f˸نفر§n-13075	
12085	f˸اپی نفرین#n1	f˸عضو هم‌نشیم	f˸اپی‌نفرین§n-20706	
12085	f˸اپی نفرین#n1	f˸عضو هم‌نشیم	f˸اپی‌نفرین§n-20706	
12101	f˸اپی‌نفرین#n1	f˸عضو هم‌نشیم	f˸اپی‌نفرین§n-20706	
12101	f˸اپی‌نفرین#n1	f˸عضو هم‌نشیم	f˸اپی‌نفرین§n-20706	
12102	f˸اپی‌نفرین§n-20706	f˸مرتبط با	f˸کاراندام‌شناختی§a-18376	
12103	f˸اپی‌نفرین§n-20706	f˸ISA	f˸هورمون§n-12963	
12104	f˸اپی‌نفرین§n-20706	f˸مرتبط با	f˸شور§n-13152	
12105	f˸اپی‌نفرین§n-20706	f˸مثال	f˸"از شدت هیجان آدرنالین خونش بالا رفته بود"	
12106	f˸اپی‌نفرین§n-20706	f˸تعریف	f˸"@فیزیولوژی@ هورمونی که از بخش مرکزی غده فوق کلیوی ترشح می شود"	
12140	f˸اکابر§n-22132	f˸ISA	f˸نفر§n-13075	
12194	f˸اکتشاف§n-14474	f˸مرتبط با	f˸نفر§n-13075	
12641	f˸ایستادگی کردن§v-16404	f˸مثال	f˸"یک نفر چطور می تواند در مقابل بیگانگان مقاومت کند؟"	
12839	f˸با تنفر#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
12839	f˸با تنفر#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
12905	f˸با نفرت#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
12905	f˸با نفرت#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
13098	f˸باتنفر#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
13098	f˸باتنفر#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
13099	f˸باتنفر§r-23060	f˸مرتبط با	f˸نفرت داشتن§v-21751	
13099	f˸باتنفر§r-23060	f˸مرتبط با	f˸نفرت داشتن§v-21751	
13100	f˸باتنفر§r-23060	f˸مثال	f˸"بانفرت در باره روزهای اسارت حرف می زد"	
13100	f˸باتنفر§r-23060	f˸مثال	f˸"بانفرت در باره روزهای اسارت حرف می زد"	
13101	f˸باتنفر§r-23060	f˸تعریف	f˸"همراه با تنفر"	
13101	f˸باتنفر§r-23060	f˸تعریف	f˸"همراه با تنفر"	
13150	f˸باجگیری§n-22606	f˸مثال	f˸"این باجگیرها تا کنون از چندین نفر باجگیری کرده اند"	
13285	f˸بادام§n-20989	f˸تعریف	f˸"درخت یا درختچه‌ای از تیره‌ی گلسرخیان، دارای برگهای ساده‌ی منفرد بیضی دراز، نوک تیز و دندانه‌دار با گلهای زیبای صورتی یا سفید و میوه‌ی شفت"	
13995	f˸بازبین§n-20242	f˸ISA	f˸نفر§n-13075	
14142	f˸بازرگان§n-11972	f˸ISA	f˸نفر§n-13075	
14412	f˸بازیکن§n-14607	f˸ISA	f˸نفر§n-13075	
14508	f˸باسواد§n-14034	f˸ISA	f˸نفر§n-13075	
14519	f˸باسک§n-17512	f˸مثال	f˸"پایان‌نامه‌اش در برررسی وجود اشتراکات و افتراقات زبان باسک و دیگر زبان‌های منفرد بود"	
15145	f˸بانفرت#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
15145	f˸بانفرت#r1	f˸عضو هم‌نشیم	f˸باتنفر§r-23060	
15413	f˸بت§n-26031	f˸ISA	f˸نفر§n-13075	
15622	f˸بخت§n-12082	f˸مرتبط با	f˸نفر§n-13075	
15751	f˸بد شانس§n-13336	f˸ISA	f˸نفر§n-13075	
15863	f˸بدجنسی§n-10052	f˸مرتبط با	f˸نفر§n-13075	
15959	f˸بدسابقه§a-502	f˸مثال	f˸"زندانی باسابقه را به سلول انفرادی بردند"	
16063	f˸بدمینتن§n-17957	f˸تعریف	f˸"ورزش دو یا چهارنفری با راکتهای دسته‌بلند و توپهایی شبیه زنبیل بسیار کوچک"	
16411	f˸برادر§n-14090	f˸ISA	f˸نفر§n-13075	
17138	f˸برن§n-23996	f˸مثال	f˸"شهر برن با جمعیت 123٬466 نفر چهارمین شهر پرجمعیت سوئیس می باشد."	
17141	f˸برنا§n-14401	f˸ISA	f˸نفر§n-13075	
17162	f˸برنامه§n-11359	f˸مرتبط با	f˸نفر§n-13075	
17220	f˸برنده§n-16030	f˸ISA	f˸نفر§n-13075	
17514	f˸برگرداننده§a-1897	f˸ISA	f˸نفر§n-13075	
17768	f˸بزرگ§n-13718	f˸ISA	f˸نفر§n-13075	
17771	f˸بزرگ§n-13719	f˸ISA	f˸نفر§n-13075	
17784	f˸بزرگسال§n-11943	f˸ISA	f˸نفر§n-13075	
17842	f˸بزهکار§n-15876	f˸ISA	f˸نفر§n-13075	
17889	f˸بستانکار§n-20292	f˸ISA	f˸نفر§n-13075	
18117	f˸بشر§n-11988	f˸ISA	f˸نفر§n-13075	
18192	f˸بشکه§n-14728	f˸ISA	f˸نفر§n-13075	
18314	f˸بعد§a-9917	f˸مثال	f˸"پزشک به منشی گفت نفر بعد وارد اتاق شود"	
18330	f˸بعدی§a-1560	f˸مثال	f˸"نفر بعدی"	
18759	f˸بم§n-24904	f˸مثال	f˸"جمعیت شهرستان بم بنا بر سرشماری سال 1385 مرکز آمار ایران، برابر 282311 نفر است"	
19108	f˸بنی آدم#n1	f˸عضو هم‌نشیم	f˸نفر§n-13075	
19109	f˸بنی بشر#n1	f˸عضو هم‌نشیم	f˸نفر§n-13075	
19143	f˸بنین§n-23719	f˸مثال	f˸"مساحت بنین 112،622 کیلومتر مربع و جمعیت این کشور 7 میلیون و 650 هزار نفر است"	
19145	f˸بنی‌آدم#n1	f˸عضو هم‌نشیم	f˸نفر§n-13075	
19283	f˸به حساب آوردن§v-8073	f˸مثال	f˸"اگر داماد و عروسمان را هم به حساب آوریم می شویم ده نفر."	
19662	f˸به پایان رساندن§v-16270	f˸تعریف	f˸"به پایان رسیدن چیزی یا رابطه مابین دو نفر"	
20085	f˸به‌طورتحسین‌آمیز§r-23040	f˸مثال	f˸"حرکات انفرادی ژیمناستیک را به طور تحسین آمیز انجام داد و مدال طلای المپیک را از آن خود کرد"	
20166	f˸به‌طورنامساوی§r-23075	f˸مثال	f˸"امتیازات را به طور نامساوی میان کارمندان تقسم کردند و چند نفر اعتراض کردند"	
20546	f˸بومی§n-13331	f˸ISA	f˸نفر§n-13075	
20566	f˸بوکس§n-10534	f˸تعریف	f˸"ورزشی دونفره که در آن هر یک از ورزشکاران سعی می کند با ضربه های مشت دیگری را در رینگ مسابقه ناک اوت کند یا امتیاز بگیرد"	
20580	f˸بوگوتا§n-24004	f˸مثال	f˸"جمعیت تقریبی بوگوتا، و منطقه‌ای در حومه شهر به نام سواچا، 7٬881٬156 نفر می‌باشد"	
20581	f˸بوگوتا§n-24004	f˸تعریف	f˸"بوگوتا که نام رسمی آن بوگوتا دی‌سی است پایتخت کلمبیا بوده و با جمعیتی معادل 7٬321٬831 نفر بزرگ‌ترین و پرجمعیت‌ترین شهر آن کشور به شمار می‌آید"	
20625	f˸بچه§n-13349	f˸ISA	f˸نفر§n-13075	
21585	f˸بیزار شدن§v-8105	f˸تعریف	f˸"از چیزی متنفر شدن"	
21590	f˸بیزاری#n1	f˸عضو هم‌نشیم	f˸تنفر§n-11637	
21601	f˸بیسبال§n-17001	f˸تعریف	f˸"@ورزش@ بازی دسته جمعی که به وسیله ی دو گروه نه نفری در یک زمین مخصوص و به وسیله‌ی یک توپ کوچک بازی می‌شودکه بازیکنان آن را با چوبدستی پرتاب می‌کنند"	
21738	f˸بیلیارد§n-25548	f˸تعریف	f˸"بازی دونفری روی میز به وسیله گویهایی که با چوبی بلند آنها را می زنند تا به یکدیگر بخورند و در داخل سوراخهایی بیافتند"	
22215	f˸بیگانه§n-13515	f˸ISA	f˸نفر§n-13075	
22563	f˸بی‌قاعده§a-18643	f˸مثال	f˸"یادگیری افعال بی قاعده دشوار است و هر فعلی را باید به طور انفرادی آموخت"	
23683	f˸تبر زدن§v-18800	f˸مثال	f˸"سرخپوستان چند نفر را در جنگل تبر زدند."	
23735	f˸تبعه§n-11976	f˸ISA	f˸نفر§n-13075	
23790	f˸تبهکار§n-16071	f˸ISA	f˸نفر§n-13075	
23970	f˸تجمع§n-10757	f˸مثال	f˸"اجتماع بیش از دو نفر ممنوع گردید"	
24539	f˸تخمینی§a-1405	f˸مثال	f˸"تعداد تقریبی مشتریان فروشگاه سیصد نفر است"	
24560	f˸تخیل§n-11345	f˸مرتبط با	f˸نفر§n-13075	
24691	f˸تذکیر§n-13334	f˸ISA	f˸نفر§n-13075	
26129	f˸تضرع§n-11512	f˸مرتبط با	f˸نفر§n-13075	
26175	f˸تطابق§n-19137	f˸مثال	f˸"وقتی این دو عکس را تطابق دادم دیدم هر دو نفر یکی هستند."	
26259	f˸تعامل§n-10397	f˸مثال	f˸"تعامل بین این دو نفر منجر به رفع اختلافات بین انها می‌گردد"	
26403	f˸تعمید دادن§v-7532	f˸مثال	f˸"چند نفر از اینها را به نام خود تعمید داده و به فرزندی قبول نموده"	
26648	f˸تفاوت§n-16067	f˸مرتبط با	f˸نفر§n-13075	
27062	f˸تلاش‌گر§a-686	f˸مثال	f˸"دانشجوی کوشا نفر اول دانشکده شد"	
27278	f˸تله پاتی§n-22496	f˸تعریف	f˸"ارتباط احساسی، فکری یا بصری از راه دور میان مغز دو نفر، بدون بهره‌گیری از وسیله‌های مادی شناخته شده _فرهنگستان_ دورآگاهی"	
27389	f˸تماس§n-12369	f˸تعریف	f˸"وضعی که بین دو یا چند نفر دوستی و مراوده وجود دارد"	
27973	f˸تنفر#n1	f˸عضو هم‌نشیم	f˸تنفر§n-11637	
27973	f˸تنفر#n1	f˸عضو هم‌نشیم	f˸تنفر§n-11637	
27974	f˸تنفر§n-11637	f˸ISA	f˸کناره گیری§n-19934	
27975	f˸تنفر§n-11637	f˸ISA	f˸احساسات§n-10394	
27976	f˸تنفر§n-11637	f˸مثال	f˸"او از غیبت کردن تنفر دارد"	
27976	f˸تنفر§n-11637	f˸مثال	f˸"او از غیبت کردن تنفر دارد"	
27977	f˸تنفر§n-11637	f˸تعریف	f˸"بد آمدن و کراهت داشتن از کسی یا چیزی"	
28065	f˸تن‌به‌تن§r-21623	f˸تعریف	f˸"به صورت انفرادی و بدون استفاده از سلاح"	
28167	f˸تهران§n-23913	f˸مثال	f˸"استان تهران با بیش از 13 میلیون نفر جمعیت، 19 درصد جمعیت کل کشور را در خود جای داده‌است"	
28686	f˸توشهاون§n-25700	f˸مثال	f˸"توشهاون حدود 19 هزار نفر جمعیت دارد"	
28755	f˸توق§n-26174	f˸مثال	f˸"علف توق ماده Hydroquinone تولید می کند که باعث نفری و تورم کبد در دام می شود"	
29085	f˸تک نفره#a1	f˸عضو هم‌نشیم	f˸تک نفره§a-321	
29085	f˸تک نفره#a1	f˸عضو هم‌نشیم	f˸تک نفره§a-321	
29086	f˸تک نفره§a-321	f˸متضاد	f˸اجتماعی§a-2036	
29087	f˸تک نفره§a-321	f˸متضاد	f˸جمعی§a-322	
29088	f˸تک نفره§a-321	f˸مثال	f˸"تصمیم فردی"	
29089	f˸تک نفره§a-321	f˸تعریف	f˸"مربوط به یا متعلق به یامناسب برای یک نفر"	
29089	f˸تک نفره§a-321	f˸تعریف	f˸"مربوط به یا متعلق به یامناسب برای یک نفر"	
29131	f˸تکان دادن§v-7656	f˸مثال	f˸"به سختی از جایش بلند شد و خود را حرکت داد./ ماشین را چند نفری از جایش تکان دادند."	
29196	f˸تکرار کردن§v-8297	f˸مثال	f˸"بقیه جنگجویان هم پشت سر هم کار نفر اول را تکرار کردند."	
29230	f˸تکلیف§n-10684	f˸مرتبط با	f˸نفر§n-13075	
29254	f˸تکنسین§n-11947	f˸ISA	f˸نفر§n-13075	
29640	f˸تیمفو§n-24029	f˸مثال	f˸"جمعیت تیمفو بر اساس آمار سال 2005، برابر با 98٬676 نفر بوده است که پرجمعیت‌ترین شهر در کشور به شمار می‌آید"	
30027	f˸جا§n-11104	f˸تعریف	f˸"محل برای نشستن چندین نفر"	
30116	f˸جاجرم§n-24921	f˸مثال	f˸"شهرستان جاجرم در سال 1385، تعداد 58٬483 نفر جمعیت داشته است پایگاه اینترنتی مرکز آمار ایران"	
30198	f˸جار§n-12036	f˸ISA	f˸نفر§n-13075	
30303	f˸جاعل§n-25818	f˸ISA	f˸نفر§n-13075	
30689	f˸جاه§n-12467	f˸مرتبط با	f˸نفر§n-13075	
31737	f˸جفت§n-11715	f˸تعریف	f˸"دو نفر که با هم ازدواج کرده باشند"	
32017	f˸جمع شدن§v-7604	f˸تعریف	f˸"در کنار هم قرارگرفتن چند چیز یا چند نفر"	
32082	f˸جمعی§a-322	f˸متضاد	f˸تک نفره§a-321	
32443	f˸جنگ طلب§a-738	f˸ISA	f˸نفر§n-13075	
32465	f˸جنگ چالدران§n-25208	f˸مثال	f˸"در جنگ چالدران نیروهای قزلباش که در حدود 40 هزار تن بودند با سپاه حدود 100 هزار نفری عثمانی جنگیدند و به دلیل کمی نفرات و نداشتن سلاح گرم از سپاه عثمانی شکست خوردن"	
32465	f˸جنگ چالدران§n-25208	f˸مثال	f˸"در جنگ چالدران نیروهای قزلباش که در حدود 40 هزار تن بودند با سپاه حدود 100 هزار نفری عثمانی جنگیدند و به دلیل کمی نفرات و نداشتن سلاح گرم از سپاه عثمانی شکست خوردن"	
32843	f˸جوان§n-14402	f˸ISA	f˸نفر§n-13075	
32861	f˸جوانمردی§n-16084	f˸مرتبط با	f˸نفر§n-13075	
32886	f˸جواهر ساز§n-15192	f˸ISA	f˸نفر§n-13075	
33302	f˸جیمز گارفیلد§n-25027	f˸ISA	f˸نفر§n-13075	
33497	f˸حاضر§n-13617	f˸ISA	f˸نفر§n-13075	
33498	f˸حاضر§n-13617	f˸مثال	f˸"حاضران در جلسه بیست نفر بودند"	
33883	f˸حذف کردن§v-20934	f˸مثال	f˸"پرتاب کننده سه نفر را از بازی حذف کرد."	
33980	f˸حرب§n-13342	f˸مثال	f˸"هزاران نفر در جنگ کشته شدند"	
34729	f˸حق الناس§n-13775	f˸مرتبط با	f˸نفر§n-13075	
35338	f˸حکم§n-11959	f˸ISA	f˸نفر§n-13075	
35654	f˸خارج§n-13927	f˸ISA	f˸نفر§n-13075	
35665	f˸خارجی§n-10211	f˸ISA	f˸نفر§n-13075	
35838	f˸خالی§r-16896	f˸تعریف	f˸"بدون همراهی کسی و به حال منفرد و تنها"	
36082	f˸خانوار§n-20504	f˸تعریف	f˸"واحد اجتماعی و اقتصادی شامل مجموعه ای از افراد که در یک خانه و زیر سرپرستی یک نفر زندگی می کنند و در کار معاش و خوراک روزانه با هم شریکند"	
36176	f˸خاکسپاری§n-11616	f˸مثال	f˸"هزاران نفر در دفن او شرکت کردند"	
36326	f˸خبرنگار§n-14333	f˸ISA	f˸نفر§n-13075	
36330	f˸خبرنگار§n-15720	f˸ISA	f˸نفر§n-13075	
36341	f˸خبره§n-13328	f˸ISA	f˸نفر§n-13075	
36551	f˸خدمه§n-13230	f˸ISA	f˸نفر§n-13075	
37333	f˸خصوصی§r-15289	f˸مرتبط با	f˸نفر§n-13075	
37954	f˸خمپاره§n-20530	f˸تعریف	f˸"نوعی گلوله توپ کوچک ضد نفر که پیش از برخورد به هدف منفجر می شود و دارای ترکش زیاد است"	
